arena	1.72773	0.0210891	-0.0199301
armchair	0.394846	-1.54191	-0.548485
bar	3.24125	-2.68442	-1.54594
bed	1.76043	6.25547	-3.15552
bedroom	2.93502	5.67088	-3.95736
bedroom_chest	1.76118	5.2153	0.0342219
coat_hanger	0.549774	4.6622	2.08501
coat_hanger_2	2.06393	0.0352676	2.62587
coffee_table	-0.605791	-3.1134	-1.55559
corridor	-0.696154	2.21041	-0.00946813
couch	0.399366	-2.99545	-0.46204
current_loc	1.90874	-0.0747921
current_person	1.89849	-0.0730994
desk	-0.65487	4.85139	-1.57128
dishwasher	3.61166	-0.37711	-3.12411
display_cabinet	0.432408	-2.13283	-1.52576
entrance	1.73106	0.00971174	-6.27686
entrance_door	1.72907	0.0130262	3.15557
exit	-0.524886	0.0324441	1.58852
exitdoor	-0.510638	0.0314708	1.5811
exitdoor_2	-0.528743	0.0317907	-1.5212
fridge	2.952	-2.67697	-4.15038
garbage_collection	0.427999	3.22526	3.1416
initial_point	0.0425262	-0.00944138	-0
island	3.24944	-2.67384	-4.69078
kitchen	3.84192	-1.86939	0.642085
kitchen_cabinet	3.63969	-0.366819	1.56163
kitchen_table	3.23715	-2.67781	3.11228
kitchen_table_1	7.59544	1.59891	3.11228
kitchen_table_2	8.06964	2.4901	-1.53786
kitchen_table_3	7.12281	3.00058	-1.5708
kitchen_table_4	6.71691	2.10858	-0
kitchen_table_5	8.60644	1.45579	1.65764
living_room	-0.420679	-0.82217	-0.761333
living_room_	-0.421439	-0.821268	-0.76133
microwave	2.95575	-2.67381	-4.69078
office	-0.585068	5.81479	-0.7854
office_	-0.582822	5.81307	-2.7608
outside	-0.520428	0.0363067	-0.737056
oven	2.96345	-2.67585	-4.69078
receptionist_point	2.07432	0.0240432	-2.7608
robot_inspection	2.74096	-1.45695	0.00447517
safe	0.331822	6.28605	3.1656
shelf	4.07132	5.13914	0.0336599
shoe_rack	-1.46466	6.29122	3.15587
sideboard	-1.36741	-2.4821	-3.11803
sidetable	4.12985	6.16522	0.00447517
sink	3.62334	-0.36673	-3.13587
table_4	5.59756	2.58438	-0
table_breakfast	3.55736	-2.63238	-0.00658728
table_location	3.56221	-2.65411	3.11228
trash_bin	3.76826	-1.13333	-0.782793
trash_bin_1	3.78244	-1.12251	-0.782793
trash_bin_2	3.77658	-1.12068	-3.87721
tv	0.423168	-2.128	-4.71839
wait_remove_chair	1.95362	-0.421753	1.5811
